iter	Passed	Remaining
0	46	46340
1	46	23442
2	47	15791
3	49	12379
4	50	10033
5	50	8448
6	51	7315
7	52	6456
8	52	5803
9	53	5267
10	53	4832
11	54	4468
12	54	4158
13	55	3914
14	57	3759
15	57	3552
16	58	3371
17	58	3216
18	59	3089
19	60	2956
20	60	2838
21	61	2729
22	61	2629
23	62	2541
24	62	2456
25	63	2378
26	64	2306
27	64	2238
28	65	2177
29	65	2119
30	66	2064
31	67	2036
32	67	1987
33	68	1949
34	69	1906
35	69	1864
36	70	1831
37	70	1793
38	71	1758
39	72	1733
40	72	1701
41	73	1670
42	73	1641
43	74	1617
44	74	1590
45	75	1564
46	75	1539
47	76	1515
48	76	1492
49	77	1471
50	77	1450
51	78	1430
52	79	1412
53	79	1398
54	80	1384
55	81	1366
56	81	1349
57	82	1335
58	82	1319
59	83	1302
60	83	1287
61	84	1272
62	84	1258
63	85	1243
64	85	1235
65	86	1221
66	86	1209
67	87	1192
68	87	1180
69	88	1172
70	88	1161
71	89	1150
72	89	1139
73	90	1128
74	90	1118
75	91	1110
76	91	1101
77	92	1094
78	93	1087
79	93	1079
80	94	1070
81	94	1062
82	95	1054
83	95	1046
84	96	1036
85	96	1029
86	97	1019
87	97	1012
88	98	1011
89	99	1004
90	99	997
91	100	989
92	100	982
93	101	976
94	101	969
95	102	962
96	102	956
97	103	950
98	103	945
99	104	940
100	105	935
101	105	927
102	105	922
103	106	919
104	107	914
105	107	909
106	108	903
107	108	898
108	109	893
109	109	888
110	110	883
111	110	879
112	111	874
113	111	869
114	112	865
115	113	861
116	113	856
117	114	852
118	114	846
119	114	842
120	115	838
121	115	834
122	116	827
123	116	823
124	117	819
125	117	814
126	117	810
127	118	804
128	118	801
129	119	801
130	120	797
131	121	797
132	122	795
133	122	793
134	123	790
135	124	787
136	124	784
137	125	781
138	125	778
139	126	775
140	126	772
141	127	769
142	127	766
143	128	763
144	129	760
145	129	758
146	130	755
147	130	752
148	131	749
149	131	747
150	132	745
151	133	743
152	133	740
153	134	738
154	135	736
155	135	734
156	136	731
157	136	729
158	137	727
159	138	724
160	138	723
161	139	721
162	139	718
163	140	715
164	140	713
165	141	710
166	141	707
167	142	705
168	142	702
169	143	701
170	144	698
171	144	696
172	145	693
173	145	691
174	146	688
175	146	686
176	147	684
177	147	681
178	148	679
179	148	676
180	148	673
181	149	670
182	149	668
183	150	666
184	150	664
185	151	662
186	151	659
187	152	657
188	152	655
189	153	652
190	153	650
191	154	648
192	154	646
193	155	643
194	155	641
195	155	639
196	156	637
197	160	651
198	161	650
199	162	648
200	163	648
201	163	646
202	164	645
203	165	644
204	166	646
205	168	647
206	168	645
207	169	644
208	169	642
209	170	640
210	170	638
211	171	636
212	171	634
213	172	632
214	172	631
215	173	629
216	174	627
217	174	626
218	175	624
219	175	623
220	176	621
221	176	620
222	177	618
223	178	617
224	178	615
225	179	614
226	179	612
227	180	611
228	181	609
229	181	608
230	182	606
231	182	605
232	183	604
233	184	602
234	184	601
235	185	599
236	185	598
237	186	596
238	186	594
239	187	592
240	187	591
241	188	589
242	188	587
243	189	585
244	189	584
245	190	582
246	190	580
247	190	579
248	191	577
249	191	575
250	192	574
251	192	572
252	193	570
253	193	569
254	194	567
255	194	566
256	195	564
257	195	563
258	196	561
259	196	560
260	197	558
261	197	556
262	198	555
263	198	553
264	199	552
265	199	550
266	200	549
267	200	547
268	201	546
269	201	544
270	201	543
271	202	541
272	202	540
273	203	538
274	203	537
275	204	536
276	204	534
277	205	533
278	205	531
279	206	530
280	206	529
281	207	527
282	207	526
283	208	524
284	208	523
285	209	522
286	209	521
287	211	522
288	211	521
289	212	519
290	212	518
291	213	517
292	213	516
293	214	514
294	214	513
295	215	512
296	215	510
297	216	509
298	216	508
299	217	506
300	217	505
301	218	504
302	218	502
303	219	501
304	219	500
305	220	499
306	220	497
307	220	496
308	221	495
309	221	493
310	222	492
311	222	491
312	223	490
313	223	489
314	224	488
315	224	486
316	225	485
317	225	484
318	226	483
319	226	481
320	227	480
321	227	479
322	228	478
323	228	477
324	229	475
325	229	474
326	230	473
327	230	472
328	231	471
329	231	470
330	232	469
331	232	468
332	233	467
333	233	465
334	234	464
335	234	463
336	235	462
337	235	461
338	236	460
339	236	459
340	237	458
341	237	456
342	237	455
343	238	454
344	238	453
345	239	452
346	239	451
347	240	450
348	240	449
349	241	448
350	241	447
351	242	446
352	242	444
353	243	443
354	243	442
355	244	441
356	244	440
357	245	439
358	245	438
359	246	437
360	246	436
361	247	435
362	247	434
363	248	433
364	248	432
