iter	Passed	Remaining
0	48	48690
1	49	24553
2	49	16511
3	50	12481
4	50	10062
5	50	8447
6	51	7296
7	51	6431
8	52	5762
9	52	5230
10	53	4788
11	53	4423
12	54	4113
13	54	3853
14	55	3621
15	55	3417
16	56	3240
17	56	3082
18	56	2939
19	57	2811
20	57	2694
21	58	2588
22	58	2493
23	59	2406
24	59	2325
25	60	2249
26	60	2180
27	60	2116
28	61	2058
29	61	2002
30	62	1949
31	62	1901
32	63	1857
33	63	1813
34	64	1772
35	64	1733
36	65	1696
37	65	1660
38	66	1627
39	66	1595
40	67	1572
41	67	1543
42	68	1516
43	68	1490
44	69	1464
45	70	1457
46	70	1434
47	71	1412
48	71	1390
49	72	1369
50	72	1353
51	73	1333
52	73	1315
53	74	1296
54	74	1280
55	74	1263
56	75	1247
57	75	1231
58	76	1217
59	76	1202
60	77	1188
61	77	1174
62	78	1161
63	78	1149
64	79	1136
65	79	1124
66	79	1112
67	80	1101
68	80	1090
69	81	1081
70	81	1070
71	82	1060
72	82	1049
73	83	1040
74	83	1030
75	83	1020
76	84	1011
77	84	1003
78	85	995
79	85	986
80	86	978
81	86	970
82	86	960
83	87	952
84	87	944
85	88	937
86	88	930
87	89	923
88	89	916
89	90	910
90	90	903
91	90	896
92	91	890
93	91	884
94	92	878
95	92	872
96	93	866
97	93	860
98	93	855
99	94	849
100	94	844
101	95	838
102	95	833
103	96	828
104	96	823
105	97	818
106	97	813
107	97	808
108	98	803
109	98	799
110	99	794
111	99	790
112	100	785
113	100	781
114	100	777
115	101	772
116	101	768
117	102	764
118	102	760
119	103	757
120	103	753
121	104	748
122	104	745
123	105	742
124	105	739
125	106	735
126	106	731
127	106	728
128	107	724
129	107	721
130	108	718
131	108	715
132	109	711
133	109	708
134	109	704
135	110	701
136	110	698
137	111	696
138	111	693
139	112	690
140	112	687
141	113	683
142	113	680
143	114	678
144	114	675
145	115	672
146	115	670
147	116	667
148	116	665
149	117	663
150	117	660
151	118	658
152	118	655
153	118	653
154	119	651
155	119	648
156	120	646
157	120	643
158	121	641
159	121	639
160	122	636
161	122	634
162	123	631
163	123	629
164	124	627
165	124	625
166	125	623
167	125	621
168	125	619
169	126	617
170	126	615
171	127	613
172	127	611
173	128	609
174	128	607
175	129	605
176	129	603
177	130	601
178	130	600
179	131	598
180	131	596
181	132	594
182	132	592
183	133	590
184	133	589
185	134	587
186	134	585
187	135	583
188	135	581
189	136	580
190	136	578
191	137	576
192	137	575
193	138	573
194	138	572
195	139	572
196	139	570
197	140	569
198	141	567
199	141	566
200	142	564
201	142	563
202	143	561
203	143	559
204	143	558
205	144	556
206	144	555
207	145	553
208	145	552
209	146	550
210	146	549
211	147	547
212	147	546
213	148	544
214	148	543
215	149	542
216	149	540
217	150	539
218	150	537
219	151	536
220	151	534
221	152	533
222	152	532
223	153	530
224	153	529
225	154	527
226	154	526
227	155	524
228	155	523
229	156	522
230	156	521
231	157	519
232	157	518
233	157	517
234	158	515
235	158	514
236	159	513
237	159	511
238	160	510
239	160	509
240	161	508
241	161	506
242	162	505
243	162	504
244	163	503
245	163	501
246	164	500
247	164	499
248	165	498
249	165	497
250	166	495
251	166	494
252	167	493
253	167	492
254	168	491
255	168	489
256	169	488
257	169	487
258	170	486
259	170	485
260	171	484
261	171	483
262	171	481
